Station Name,Region,Sub Region,State,Year,Total Days
LAMBERT-ST LOUIS INTERNATIONAL AP,MIDWEST,WEST NORTH CENTRAL,MO,2016,20
WILL ROGERS WORLD AIRPORT,SOUTH,WEST SOUTH CENTRAL,OK,2016,20
PORTLAND INTERNATIONAL AIRPORT,WEST,PACIFIC,OR,2016,18
SEATTLE-TACOMA INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2016,18
CINCINNATI/NORTHERN KENTUCKY INTL AP,SOUTH,EAST SOUTH CENTRAL,KY,2016,16
MAHLON SWEET FIELD AIRPORT,WEST,PACIFIC,OR,2016,15
RALEIGH-DURHAM INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2016,15
SPOKANE INTERNATIONAL AIRPORT,WEST,PACIFIC,WA,2016,15
YEAGER AIRPORT,SOUTH,SOUTH ATLANTIC,WV,2016,15
DALLAS/FT WORTH INTERNATIONAL AP,SOUTH,WEST SOUTH CENTRAL,TX,2016,14
LITTLE ROCK AFB AIRPORT,SOUTH,WEST SOUTH CENTRAL,AR,2016,14
SALT LAKE CITY INTERNATIONAL AIRPORT,WEST,MOUNTAIN,UT,2016,14
WILMINGTON INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2016,14
NASHVILLE INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2016,13
PIEDMONT TRIAD INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,NC,2016,13
LOUISVILLE INTL-STANDIFORD FIELD AP,SOUTH,EAST SOUTH CENTRAL,KY,2016,12
AUSTIN-BERGSTROM INTL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2016,11
EL PASO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2016,11
BOISE AIR TERMINAL/GOWEN FD AIRPORT,WEST,MOUNTAIN,ID,2016,10
CHARLOTTE/DOUGLAS INTERNATIONAL AP,SOUTH,SOUTH ATLANTIC,NC,2016,10
